Date,Weight,Exercise,Training,Reading,Gaming,Food
2026-3-22,185.7,jump rope,Deep Learning Fundamentals,The Name of the Wind (finished),"Hades, Return of the Obra Dinn","grilled chicken, roasted vegetables, brown rice"
2026-3-21,,30 minute walk,AWS Solutions Architect,The Name of the Wind,"Wordle, Celeste","chicken sandwich, fries, diet soda, chocolate chip cookie"
2026-3-20,186.6,yoga,"AWS Solutions Architect, Deep Learning Fundamentals",The Name of the Wind,,"chicken soup, whole wheat roll"
2026-3-19,187.1,elliptical,"AWS Solutions Architect, Deep Learning Fundamentals",The Name of the Wind,Celeste,"lentil soup, salad, whole grain bread, protein bar"
2026-3-18,186.9,"45 minute walk, elliptical","Deep Learning Fundamentals, AWS Solutions Architect",The Name of the Wind,Wordle,"steak tacos, black beans, corn, chocolate chip cookie"
2026-3-17,187.1,30 minute walk,"Deep Learning Fundamentals, AWS Solutions Architect",The Name of the Wind,Factorio,"chicken stir fry, broccoli, rice, rice cakes"
2026-3-16,187.7,rest day,AWS Solutions Architect,The Name of the Wind,Balatro,"turkey wrap, apple, Greek yogurt"
2026-3-15,188.2,yoga,AWS Solutions Architect,The Name of the Wind,Tetris,"egg white omelet, whole wheat toast, berries"
2026-3-14,188.5,"30 minute bike, treadmill run",Deep Learning Fundamentals,The Name of the Wind,Slay the Spire,"breakfast sandwich, hash browns, donut, large coffee"
2026-3-13,188.5,treadmill run,"Deep Learning Fundamentals, AWS Solutions Architect",The Name of the Wind,"Noita, Cobalt Core","chicken soup, whole wheat roll"
2026-3-12,188.6,elliptical,"Deep Learning Fundamentals, AWS Solutions Architect",The Name of the Wind,,"shrimp and vegetables, brown rice"
2026-3-11,188.7,"30 minute bike, 35 minute walk",Deep Learning Fundamentals,The Name of the Wind,pinball,"cottage cheese, berries, almonds"
2026-3-10,,"30 minute walk, basketball","Deep Learning Fundamentals, AWS Solutions Architect",The Name of the Wind,Balatro,"double cheeseburger, large fries, milkshake"
2026-3-9,189.0,"30 minute bike, treadmill run",Deep Learning Fundamentals,The Name of the Wind,"chess.com, pinball","chicken stir fry, broccoli, rice"
2026-3-8,189.1,30 minute walk,"Deep Learning Fundamentals, AWS Solutions Architect",The Name of the Wind,"Dead Cells, Wordle","BLT, sweet potato fries, small ice cream"
2026-3-7,189.6,rest day,"AWS Solutions Architect, Deep Learning Fundamentals",The Name of the Wind,Hollow Knight,"chicken tikka masala, naan, rice"
2026-3-6,190.2,35 minute walk,"AWS Solutions Architect, Deep Learning Fundamentals",The Name of the Wind,Disco Elysium,"oatmeal, blueberries, black coffee"
2026-3-5,190.9,rest day,"AWS Solutions Architect, Deep Learning Fundamentals",The Name of the Wind,pinball,"egg white omelet, whole wheat toast, berries"
2026-3-4,190.9,basketball,AWS Solutions Architect,The Name of the Wind,,"sushi rolls, miso soup, edamame"
2026-3-3,191.1,30 minute walk,"AWS Solutions Architect, Deep Learning Fundamentals",The Name of the Wind,Slay the Spire,"tuna salad, whole wheat crackers, orange, rice cakes"
2026-3-2,191.7,"treadmill run, 30 minute bike","AWS Solutions Architect, Deep Learning Fundamentals",The Name of the Wind,Tetris,"fried chicken, mashed potatoes, biscuit"
2026-3-1,,weight training,AWS Solutions Architect,The Name of the Wind,FTL: Faster Than Light,"pizza (2 slices), Caesar salad"
2026-2-28,191.3,35 minute walk,"Machine Learning A-Z, AWS Cloud Practitioner",The Name of the Wind,pinball,"pad thai, spring rolls, small ice cream"
2026-2-27,,30 minute bike,"Machine Learning A-Z, AWS Cloud Practitioner",The Name of the Wind,Noita,"chicken tikka masala, naan, rice"
2026-2-26,192.2,"soccer, jump rope","Machine Learning A-Z, AWS Cloud Practitioner",The Name of the Wind,"Wordle, Stardew Valley","BBQ ribs, mac and cheese, cornbread, beer"
2026-2-25,,rest day,AWS Cloud Practitioner,The Name of the Wind,,"chicken breast, roasted Brussels sprouts, brown rice"
2026-2-24,192.9,yoga,"Machine Learning A-Z, AWS Cloud Practitioner",Born to Run (finished),Slay the Spire,"BLT, sweet potato fries"
2026-2-23,,weight training,Machine Learning A-Z,Born to Run,Cobalt Core,"chicken sandwich, fries, diet soda"
2026-2-22,193.0,30 minute walk,Machine Learning A-Z,Born to Run,"FTL: Faster Than Light, Disco Elysium","pepperoni pizza (4 slices), garlic knots, soda"
2026-2-21,192.8,treadmill run,"Machine Learning A-Z, AWS Cloud Practitioner",Born to Run,,"burrito bowl, chips and salsa, small ice cream"
2026-2-20,192.8,"30 minute bike, 30 minute walk",AWS Cloud Practitioner,Born to Run,Factorio,"chicken burrito, rice and beans, small ice cream"
2026-2-19,192.4,rest day,"AWS Cloud Practitioner, Machine Learning A-Z",Born to Run,"chess.com, Darkest Dungeon","grilled chicken, roasted vegetables, brown rice"
2026-2-18,192.2,treadmill run,"AWS Cloud Practitioner, Machine Learning A-Z",Born to Run,Disco Elysium,"salmon, asparagus, quinoa"
2026-2-17,192.3,"30 minute bike, elliptical","AWS Cloud Practitioner, Machine Learning A-Z",Born to Run,Celeste (finished),"burrito bowl, chips and salsa"
2026-2-16,192.3,elliptical,AWS Cloud Practitioner,Born to Run,Darkest Dungeon,"egg white omelet, whole wheat toast, berries"
2026-2-15,192.0,rest day,AWS Cloud Practitioner,Born to Run,Dead Cells,"steak tacos, black beans, corn"
2026-2-14,191.7,"swimming, weight training","Machine Learning A-Z, AWS Cloud Practitioner",Born to Run,Slay the Spire,"double bacon cheeseburger, onion rings, root beer float"
2026-2-13,,35 minute walk,"AWS Cloud Practitioner, Machine Learning A-Z",Born to Run,,"chicken tikka masala, naan, rice"
2026-2-12,191.6,"treadmill run, weight training","Machine Learning A-Z, AWS Cloud Practitioner",Born to Run,Vampire Survivors,"grilled cheese, tomato soup"
2026-2-11,191.7,yoga,"Machine Learning A-Z, AWS Cloud Practitioner",Born to Run,Celeste,"3 slices pepperoni pizza, mozzarella sticks, ice cream"
2026-2-10,,30 minute bike,AWS Cloud Practitioner,"Tomorrow, and Tomorrow, and Tomorrow (finished)",,"pulled pork sandwich, coleslaw, baked beans, cornbread"
2026-2-9,192.5,basketball,AWS Cloud Practitioner,"Tomorrow, and Tomorrow, and Tomorrow","Disco Elysium, chess.com","steak tacos, black beans, corn"
2026-2-8,192.7,treadmill run,"AWS Cloud Practitioner, Machine Learning A-Z","Tomorrow, and Tomorrow, and Tomorrow",Cobalt Core,"grilled cheese, tomato soup"
2026-2-7,193.4,hiking,"Machine Learning A-Z, AWS Cloud Practitioner","Tomorrow, and Tomorrow, and Tomorrow",Wordle,"turkey sandwich, chips, pickle"
2026-2-6,193.3,30 minute walk,Machine Learning A-Z,"Tomorrow, and Tomorrow, and Tomorrow",,"pasta bolognese, garlic bread, salad"
2026-2-5,193.4,basketball,AWS Cloud Practitioner,"Tomorrow, and Tomorrow, and Tomorrow",Wordle,"cottage cheese, berries, almonds, rice cakes"
2026-2-4,193.4,rest day,Machine Learning A-Z,"Tomorrow, and Tomorrow, and Tomorrow","Stardew Valley, Vampire Survivors","egg white omelet, whole wheat toast, berries"
2026-2-3,193.5,"30 minute bike, 30 minute walk",AWS Cloud Practitioner,"Tomorrow, and Tomorrow, and Tomorrow","Wordle, Vampire Survivors","chicken tikka masala, naan, rice, handful of chips"
2026-2-2,193.4,soccer,Machine Learning A-Z,"Tomorrow, and Tomorrow, and Tomorrow",Disco Elysium,"pasta carbonara, tiramisu, wine"
2026-2-1,193.6,30 minute bike,AWS Cloud Practitioner,"Tomorrow, and Tomorrow, and Tomorrow","Slay the Spire, Dead Cells","pad thai, spring rolls"
2026-1-31,193.7,basketball,"AWS Cloud Practitioner, Machine Learning A-Z","Tomorrow, and Tomorrow, and Tomorrow",Slay the Spire,"burrito bowl, chips and salsa"
2026-1-30,193.4,30 minute bike,"AWS Cloud Practitioner, Machine Learning A-Z","Tomorrow, and Tomorrow, and Tomorrow",Wordle,"sushi rolls, miso soup, edamame"
2026-1-29,193.2,30 minute walk,"AWS Cloud Practitioner, Machine Learning A-Z","Tomorrow, and Tomorrow, and Tomorrow",Into the Breach,"ramen, soft boiled egg"
2026-1-28,192.8,basketball,Machine Learning A-Z,"Tomorrow, and Tomorrow, and Tomorrow",Cobalt Core,"steak and cheese sub, onion rings, chocolate shake"
2026-1-27,192.9,30 minute walk,Machine Learning A-Z,"Tomorrow, and Tomorrow, and Tomorrow",Factorio,"BBQ ribs, mac and cheese, cornbread, beer"
2026-1-26,193.0,30 minute bike,Machine Learning A-Z,"Tomorrow, and Tomorrow, and Tomorrow","Hollow Knight, Balatro","sushi rolls, miso soup, edamame"
2026-1-25,,"30 minute bike, hiking",Machine Learning A-Z,"Tomorrow, and Tomorrow, and Tomorrow",Hollow Knight (finished),"double bacon cheeseburger, onion rings, root beer float"
2026-1-24,192.8,30 minute bike,"Machine Learning A-Z, AWS Cloud Practitioner","Tomorrow, and Tomorrow, and Tomorrow","Hades, Balatro, Return of the Obra Dinn","BBQ ribs, mac and cheese, cornbread, beer"
2026-1-23,193.0,30 minute bike,Machine Learning A-Z,"Tomorrow, and Tomorrow, and Tomorrow","Stardew Valley, Disco Elysium","lentil soup, salad, whole grain bread"
2026-1-22,192.8,"weight training, 30 minute walk","AWS Cloud Practitioner, Machine Learning A-Z","Tomorrow, and Tomorrow, and Tomorrow",Celeste,"cheeseburger, side salad, small ice cream"
2026-1-21,192.4,30 minute bike,AWS Cloud Practitioner,"Tomorrow, and Tomorrow, and Tomorrow",Wordle,"pasta bolognese, garlic bread, salad, chocolate chip cookie"
2026-1-20,192.6,30 minute bike,"Machine Learning A-Z, Statistics for Data Science","Tomorrow, and Tomorrow, and Tomorrow",Factorio,"fried chicken, mashed potatoes, biscuit"
2026-1-19,,30 minute walk,"Statistics for Data Science, Machine Learning A-Z",The Body Keeps the Score (finished),"Stardew Valley, Hollow Knight, FTL: Faster Than Light","turkey meatballs, zucchini noodles, marinara"
2026-1-18,192.1,soccer,Machine Learning A-Z,The Body Keeps the Score,,"pad thai, spring rolls, brownie"
2026-1-17,192.1,30 minute walk,Statistics for Data Science,The Body Keeps the Score,"Wordle, Cobalt Core","double cheeseburger, large fries, milkshake"
2026-1-16,192.6,treadmill run,Machine Learning A-Z,The Body Keeps the Score,Hollow Knight,"cottage cheese, berries, almonds"
2026-1-15,193.0,"30 minute bike, weight training",Machine Learning A-Z,The Body Keeps the Score,pinball,"chicken tikka masala, naan, rice"
2026-1-14,193.8,basketball,"Machine Learning A-Z, Statistics for Data Science",The Body Keeps the Score,Disco Elysium,"fish and chips, tartar sauce, beer"
2026-1-13,194.5,30 minute walk,Machine Learning A-Z,The Body Keeps the Score,"Vampire Survivors, Wordle","chicken breast, roasted Brussels sprouts, brown rice"
2026-1-12,195.4,"hiking, weight training","Machine Learning A-Z, Statistics for Data Science",The Body Keeps the Score,"Vampire Survivors, Tetris, Into the Breach","grilled salmon, green beans, sweet potato"
2026-1-11,,35 minute walk,"Statistics for Data Science, Machine Learning A-Z",The Body Keeps the Score,Wordle,"egg white omelet, whole wheat toast, berries, almonds"
2026-1-10,196.5,"30 minute walk, 35 minute walk",Machine Learning A-Z,The Body Keeps the Score,"Wordle, Tetris","pasta carbonara, tiramisu, wine"
2026-1-9,196.4,30 minute walk,"Statistics for Data Science, Machine Learning A-Z",The Body Keeps the Score,Celeste,"chicken sandwich, fries, diet soda"
2026-1-8,196.7,"jump rope, 30 minute walk","Statistics for Data Science, Machine Learning A-Z",The Body Keeps the Score,"FTL: Faster Than Light, Tetris","3 slices pepperoni pizza, mozzarella sticks, ice cream"
2026-1-7,197.1,30 minute walk,"Machine Learning A-Z, Statistics for Data Science",The Body Keeps the Score,"Wordle, Slay the Spire","chicken tikka masala, naan, rice, chocolate chip cookie"
2026-1-6,198.0,soccer,Statistics for Data Science,The Body Keeps the Score,,"double bacon cheeseburger, onion rings, root beer float"
2026-1-5,198.0,"weight training, jump rope","Machine Learning A-Z, Statistics for Data Science",The Body Keeps the Score,Disco Elysium,"sushi rolls, miso soup, edamame, brownie"
2026-1-4,198.0,treadmill run,"Machine Learning A-Z, Statistics for Data Science",The Body Keeps the Score,Return of the Obra Dinn,"chicken stir fry, broccoli, rice, banana"
2026-1-3,199.5,elliptical,Machine Learning A-Z,The Body Keeps the Score,"Disco Elysium, Balatro","turkey wrap, apple, Greek yogurt"
2026-1-2,199.5,30 minute walk,"Machine Learning A-Z, Statistics for Data Science",The Body Keeps the Score,"Factorio, Stardew Valley","turkey wrap, apple, Greek yogurt"
2026-1-1,199.4,rest day,"Machine Learning A-Z, Statistics for Data Science",The Body Keeps the Score,"Hollow Knight, Cobalt Core","hangover breakfast sandwich, pizza delivery, chips, sparkling water"
2025-12-31,198.8,treadmill run,"Statistics for Data Science, Machine Learning A-Z",The Body Keeps the Score,,"BLT, sweet potato fries"
2025-12-30,198.5,yoga,Machine Learning A-Z,The Body Keeps the Score,,"chicken sandwich, fries, diet soda"
2025-12-29,197.9,30 minute walk,Machine Learning A-Z,The Body Keeps the Score,,"pepperoni pizza (4 slices), garlic knots, soda"
2025-12-28,,"yoga, elliptical",Machine Learning A-Z,The Body Keeps the Score,,"sushi rolls, miso soup, edamame"
2025-12-27,197.4,swimming,Statistics for Data Science,The Body Keeps the Score,,"nachos, chicken wings, loaded fries"
2025-12-26,196.6,30 minute bike,Machine Learning A-Z,Project Hail Mary (finished),,"ham leftovers, mashed potatoes, Christmas cookies, hot chocolate"
2025-12-25,195.9,treadmill run,Machine Learning A-Z,Project Hail Mary,,"honey ham, roasted potatoes, green beans, dinner rolls, Christmas cookies, eggnog"
2025-12-24,195.4,30 minute walk,"Statistics for Data Science, Machine Learning A-Z",Project Hail Mary,,"chicken burrito, rice and beans"
2025-12-23,195.0,elliptical,Machine Learning A-Z,Project Hail Mary,,"salmon, asparagus, quinoa, 1/2 apple + peanut butter"
2025-12-22,194.7,30 minute walk,Machine Learning A-Z,Project Hail Mary,,"pasta carbonara, tiramisu, wine"
2025-12-21,194.3,"45 minute walk, 35 minute walk",Statistics for Data Science,Project Hail Mary,,"nachos, chicken wings, loaded fries"
2025-12-20,194.0,treadmill run,"Machine Learning A-Z, Statistics for Data Science",Project Hail Mary,,"double bacon cheeseburger, onion rings, root beer float"
2025-12-19,194.6,rest day,"Machine Learning A-Z, Statistics for Data Science",Project Hail Mary,,"steak and cheese sub, onion rings, chocolate shake"
2025-12-18,194.4,30 minute walk,Machine Learning A-Z,Project Hail Mary,,"egg white omelet, whole wheat toast, berries"
2025-12-17,194.3,yoga,"Machine Learning A-Z, Statistics for Data Science",Project Hail Mary,,"turkey meatballs, zucchini noodles, marinara, banana"
2025-12-16,194.9,"swimming, 30 minute bike",Machine Learning A-Z,Project Hail Mary,,"chicken stir fry, broccoli, rice"
2025-12-15,194.6,elliptical,Statistics for Data Science,Project Hail Mary,,"sushi rolls, miso soup, edamame, chocolate chip cookie"
2025-12-14,195.0,elliptical,"Statistics for Data Science, Machine Learning A-Z",Project Hail Mary,,"double cheeseburger, large fries, milkshake"
2025-12-13,195.3,"hiking, 30 minute bike",Machine Learning A-Z,Project Hail Mary,,"double cheeseburger, large fries, milkshake"
2025-12-12,195.4,hiking,"Machine Learning A-Z, Statistics for Data Science",Project Hail Mary,,"burrito bowl, chips and salsa"
2025-12-11,195.5,30 minute bike,Statistics for Data Science,Project Hail Mary,,"chicken breast, roasted Brussels sprouts, brown rice"
2025-12-10,195.3,30 minute walk,"Statistics for Data Science, Machine Learning A-Z",Project Hail Mary,,"tuna salad, whole wheat crackers, orange"
2025-12-9,195.5,30 minute bike,"Statistics for Data Science, Machine Learning A-Z",Project Hail Mary,,"turkey sandwich, chips, pickle"
2025-12-8,195.3,rest day,Statistics for Data Science,Project Hail Mary,,"veggie burger, side salad"
2025-12-7,195.0,30 minute walk,Python for Data Science,Project Hail Mary,,"fried chicken, mashed potatoes, biscuit"
2025-12-6,194.9,treadmill run,SQL Bootcamp,Project Hail Mary,,"chicken sandwich, fries, diet soda"
2025-12-5,194.9,"soccer, 35 minute walk","Python for Data Science, SQL Bootcamp",Project Hail Mary,,"chicken sandwich, fries, diet soda, brownie"
2025-12-4,194.8,30 minute walk,"Python for Data Science, SQL Bootcamp",Project Hail Mary,,"pasta bolognese, garlic bread, salad"
2025-12-3,194.8,30 minute walk,Python for Data Science,Atomic Habits (finished),,"chicken breast, roasted Brussels sprouts, brown rice"
2025-12-2,195.0,treadmill run,"SQL Bootcamp, Python for Data Science",Atomic Habits,,"cheeseburger, side salad"
2025-12-1,194.7,treadmill run,"SQL Bootcamp, Python for Data Science",Atomic Habits,,"BLT, sweet potato fries, brownie"
2025-11-30,195.0,elliptical,"SQL Bootcamp, Python for Data Science",Atomic Habits,,"steak and cheese sub, onion rings, chocolate shake"
2025-11-29,194.8,45 minute walk,"Python for Data Science, SQL Bootcamp",Atomic Habits,,"fish and chips, tartar sauce, beer"
2025-11-28,,"30 minute bike, 35 minute walk","SQL Bootcamp, Python for Data Science",Atomic Habits,,"turkey leftovers, stuffing, mashed potatoes, pie, soda"
2025-11-27,193.8,30 minute bike,,Atomic Habits,,"turkey, stuffing, mashed potatoes, green bean casserole, cranberry sauce, pumpkin pie, beer"
2025-11-26,192.8,treadmill run,Python for Data Science,Atomic Habits,,"grilled chicken, roasted vegetables, brown rice, almonds"
2025-11-25,193.2,30 minute walk,"SQL Bootcamp, Python for Data Science",Atomic Habits,,"fish and chips, tartar sauce, beer"
2025-11-24,193.6,30 minute bike,SQL Bootcamp,Atomic Habits,,"oatmeal, blueberries, black coffee"
2025-11-23,193.5,30 minute walk,"Python for Data Science, SQL Bootcamp",Atomic Habits,,"salmon, asparagus, quinoa"
2025-11-22,193.1,treadmill run,"SQL Bootcamp, Python for Data Science",Atomic Habits,,"cheeseburger, side salad"
2025-11-21,192.9,30 minute bike,SQL Bootcamp,Atomic Habits,,"turkey wrap, apple, Greek yogurt, banana"
2025-11-20,193.0,30 minute walk,Python for Data Science,Atomic Habits,,"chicken soup, whole wheat roll, Greek yogurt"
2025-11-19,193.5,"treadmill run, basketball","SQL Bootcamp, Python for Data Science",Atomic Habits,,"sushi rolls, miso soup, edamame"
2025-11-18,,30 minute walk,"SQL Bootcamp, Python for Data Science",Atomic Habits,,"turkey sandwich, chips, pickle, brownie"
2025-11-17,193.7,weight training,"SQL Bootcamp, Python for Data Science",Atomic Habits,,"tuna salad, whole wheat crackers, orange"
2025-11-16,194.2,weight training,"Python for Data Science, SQL Bootcamp",The Midnight Library (finished),,"grilled chicken, roasted vegetables, brown rice"
2025-11-15,194.8,"yoga, swimming",Python for Data Science,The Midnight Library,,"double bacon cheeseburger, onion rings, root beer float"
2025-11-14,194.4,rest day,"SQL Bootcamp, Python for Data Science",The Midnight Library,,"chicken sandwich, fries, diet soda, chocolate chip cookie"
2025-11-13,194.1,rest day,"SQL Bootcamp, Python for Data Science",The Midnight Library,,"chicken soup, whole wheat roll, string cheese"
2025-11-12,194.5,soccer,Python for Data Science,The Midnight Library,,"steak and cheese sub, onion rings, chocolate shake"
2025-11-11,194.4,30 minute walk,"Python for Data Science, SQL Bootcamp",The Midnight Library,,"nachos, chicken wings, loaded fries"
2025-11-10,194.4,"weight training, treadmill run","SQL Bootcamp, Python for Data Science",The Midnight Library,,"egg white omelet, whole wheat toast, berries, Greek yogurt"
2025-11-9,195.0,45 minute walk,Python for Data Science,The Midnight Library,,"chicken sandwich, fries, diet soda"
2025-11-8,195.1,30 minute bike,Python for Data Science,The Midnight Library,,"steak tacos, black beans, corn"
2025-11-7,194.7,"30 minute bike, 35 minute walk","Python for Data Science, SQL Bootcamp",The Midnight Library,,"salmon, asparagus, quinoa"
2025-11-6,194.6,swimming,"SQL Bootcamp, Python for Data Science",The Midnight Library,,"cottage cheese, berries, almonds"
2025-11-5,194.8,30 minute bike,"Python for Data Science, SQL Bootcamp",The Midnight Library,,"turkey meatballs, zucchini noodles, marinara, protein bar"
2025-11-4,195.2,30 minute walk,SQL Bootcamp,The Midnight Library,,"steak and cheese sub, onion rings, chocolate shake"
2025-11-3,195.3,weight training,"Python for Data Science, SQL Bootcamp",The Midnight Library,,"steak tacos, black beans, corn, brownie"
2025-11-2,195.1,30 minute walk,"Python for Data Science, SQL Bootcamp",The Midnight Library,,"pulled pork sandwich, coleslaw, baked beans, cornbread"
2025-11-1,194.8,30 minute bike,SQL Bootcamp,The Midnight Library,,"ramen, soft boiled egg, small ice cream"
